image_name,class,x,y,w,h
BloodImage_00000.jpg,WBC,0.597,0.5914,0.6834,0.6958
BloodImage_00000.jpg,RBC,0.2083,0.8246,0.3136,0.3462
BloodImage_00000.jpg,RBC,0.1844,0.6128,0.3136,0.3462
BloodImage_00000.jpg,RBC,0.4245,0.8802,0.3136,0.3462
BloodImage_00000.jpg,RBC,0.7313,0.8524,0.2722,0.3252
BloodImage_00000.jpg,RBC,0.9499,0.8674,0.2515,0.3462
BloodImage_00000.jpg,RBC,0.8235,0.954,0.2899,0.2378
BloodImage_00000.jpg,RBC,0.07,0.8235,0.2544,0.3636
BloodImage_00000.jpg,RBC,0.0787,0.9476,0.2692,0.2587
BloodImage_00000.jpg,RBC,0.3196,0.2652,0.2722,0.3497
BloodImage_00000.jpg,RBC,0.0914,0.2631,0.2751,0.2727
BloodImage_00000.jpg,RBC,0.9324,0.1904,0.3107,0.3497
BloodImage_00000.jpg,RBC,0.9436,0.5241,0.2751,0.3497
BloodImage_00000.jpg,RBC,0.6908,0.1305,0.2751,0.3497
BloodImage_00000.jpg,RBC,0.3458,0.4813,0.2751,0.3497
BloodImage_00000.jpg,RBC,0.504,0.0898,0.3373,0.2867
BloodImage_00000.jpg,RBC,0.4547,0.2834,0.3373,0.2902
BloodImage_00000.jpg,RBC,0.2011,0.4053,0.3402,0.3182
BloodImage_00000.jpg,RBC,0.8553,0.3861,0.3314,0.3462
BloodImage_00000.jpg,RBC,0.6614,0.2834,0.284,0.3042
BloodImage_00001.jpg,WBC,0.2814,0.8503,0.645,0.5769
BloodImage_00001.jpg,RBC,0.6296,0.8717,0.2959,0.3252
BloodImage_00001.jpg,RBC,0.1582,0.5112,0.2751,0.4196
BloodImage_00001.jpg,RBC,0.783,0.9412,0.2574,0.2797
BloodImage_00001.jpg,RBC,0.8021,0.3679,0.2574,0.2797
BloodImage_00001.jpg,RBC,0.7909,0.7166,0.2574,0.2797
BloodImage_00001.jpg,RBC,0.7353,0.7123,0.2692,0.3497
BloodImage_00001.jpg,RBC,0.5143,0.8481,0.2692,0.3811
BloodImage_00001.jpg,RBC,0.9388,0.2364,0.2692,0.3392
BloodImage_00001.jpg,RBC,0.8434,0.2984,0.2692,0.3392
BloodImage_00001.jpg,RBC,0.6471,0.4535,0.1834,0.2867
BloodImage_00001.jpg,RBC,0.5755,0.4791,0.1953,0.3287
